,p1,p2,p3,p4
0,r1,r2,r0,"r8,r9"
1,r2,r3,r0,"r8,r9"
2,r3,r4,r0,"r8,r9"
3,r4,r5,r0,"r8,r9"
4,r5,r6,r0,"r8,r9"
5,r6,r7,r0,"r8,r9"
6,r7,r4,r0,"r8,r9"
7,r0,r2,r1,"r8,r9"
8,r2,r3,r1,"r8,r9"
9,r3,r4,r1,"r8,r9"
10,r4,r5,r1,"r8,r9"
11,r5,r6,r1,"r8,r9"
12,r6,r7,r1,"r8,r9"
13,r7,r0,r1,"r8,r9"
14,r0,r1,r2,"r8,r9"
15,r1,r3,r2,"r8,r9"
16,r3,r4,r2,"r8,r9"
17,r4,r5,r2,"r8,r9"
18,r5,r6,r2,"r8,r9"
19,r6,r7,r2,"r8,r9"
20,r7,r4,r2,"r8,r9"
21,r0,r1,r3,"r8,r9"
22,r1,r2,r3,"r8,r9"
23,r2,r4,r3,"r8,r9"
24,r4,r5,r3,"r8,r9"
25,r5,r6,r3,"r8,r9"
26,r6,r7,r3,"r8,r9"
27,r7,r0,r3,"r8,r9"
28,r0,r1,r4,"r8,r9"
29,r1,r2,r4,"r8,r9"
30,r2,r3,r4,"r8,r9"
31,r3,r5,r4,"r8,r9"
32,r5,r6,r4,"r8,r9"
33,r6,r7,r4,"r8,r9"
34,r7,r1,r4,"r8,r9"
35,r0,r1,r5,"r8,r9"
36,r1,r2,r5,"r8,r9"
37,r2,r3,r5,"r8,r9"
38,r3,r4,r5,"r8,r9"
39,r4,r6,r5,"r8,r9"
40,r6,r7,r5,"r8,r9"
41,r7,r4,r5,"r8,r9"
42,r0,r1,r6,"r8,r9"
43,r1,r2,r6,"r8,r9"
44,r2,r3,r6,"r8,r9"
45,r3,r4,r6,"r8,r9"
46,r4,r5,r6,"r8,r9"
47,r5,r7,r6,"r8,r9"
48,r7,r3,r6,"r8,r9"
49,r0,r1,r7,"r8,r9"
50,r1,r2,r7,"r8,r9"
51,r2,r3,r7,"r8,r9"
52,r3,r4,r7,"r8,r9"
53,r4,r5,r7,"r8,r9"
54,r5,r6,r7,"r8,r9"
55,r6,r0,r7,"r8,r9"
